0,"设集合$M=\left\{ -1,0,2,8 \right\},N=\left\{x|x\leqslant 2 \right\}$ ，则 $M\cap N =$","{—1,0,1} ","{0,1,2} ","{0,1} ","{—1,0,1,2} ",D,"B. {0,1,2}"
1,命题“若⼀个数是负数，则它的平⽅是正数”的逆命题是,“若⼀个数的平⽅是正数，则它是负数”,“若⼀个数不是负数，则它的平⽅不是正数”,“若⼀个数是负数，则它的平⽅不是正数”,“若⼀个数的平⽅不是正数，则它不是负数”,A,C. “若—个数是负数，则它的平⽅不是正数”
2,若数列${a_n}$的通项公式是$a_n=2(n+1)+3$则此数列,是公差为5的等差数列,不是等差数列,是公差为2的等差数列 ,是公差为3的等差数列,C,首先，我们计算两个连续项的差：$a_2 - a_1 = 2(2+1) + 3 - (2(1+1) + 3) = 5$公差为5，所以选项A、C不正确。接下来，我们计算另外两个连续项的差：$a_3 - a_2 = 2(3+1) + 3 - (2(2+1) + 3) = 3$$a_4 - a_3 = 2(4+1) + 3 - (2(3+1) + 3) = 2$可以看到，尽管公差不是恒定的5，但存在一个项与前一项的差是常数2，所以数列是公差为2的等差数列。答案是：C. 是公差为2的等差数列。
3,在△ABC中，a，b，c分别是⻆A，B，C所对的边，且a＝6，b＝8，A＝30°，则满⾜条件的三⻆形有,无数个,1个,0个,2个,D,A. 无数个
4,设$\bigtriangleup ABC$的内角A，B，C所对边的长分别是a，b，c，若$a^{2}=b^{2}+c^{2}-bc$，则A=,$2\frac{\pi}{3}$,$\frac{\pi}{4}$,$\frac{\pi}{6}$,$\frac{\pi}{3}$,D,C. $\frac{\pi}{6}$
5,下列正确的是,{0}=0 ,0属于{0} ,以上都不对,0真包含于{0},B,D. 0真包含于{0}
6,设等比数列{a_n}的前n项的和为S_n，若S_10:S_5=1:2，则S_15:S_5等于,2:3,1:3,1:2,3:4,D,C. 1:2
7,某学院的A，B，C三个专业共有1200名学⽣，为了调查这些学⽣勤⼯俭学的情况，拟采⽤分层抽样的⽅法抽取⼀个容量为120的样本．已知该学院的A专业有380名学⽣，B专业有420名学⽣，则在该学院的C专业应抽取的学⽣是 ,120名,38名,40名,42名,A,C. 40名
8,"已知a=log_{2}0.2, b=2^0.2, c=0.2^0.3，则",a<b<c,c<a<b,b<c<a,a<c<b,D,首先，我们需要计算a、b、c的具体值。已知a=log_{2}0.2，我们可以用换底公式将其转化为自然对数：a = log_{10} 0.2 / log_{10} 2 = -0.301024929。已知b=2^0.2，直接计算得：b = 1.090001692。已知c=0.2^0.3，直接计算得：c = 0.765216628。现在我们来比较a、b、c的大小：- a < b < c- -0.301024929 < 1.090001692 < 0.765216628- 因此，选项A正确。
9,某校现有⾼⼀学⽣210⼈，⾼⼆学⽣270⼈，⾼三学⽣300⼈，⽤分层抽样的⽅法从这三个年级的学⽣中随机抽取n名学⽣进⾏问卷调查，如果已知从⾼⼀学⽣中抽取的⼈数为7，那么从⾼三学⽣中抽取的⼈数应为,9,26,25,10,D,C. 25
10,下列元素中属于集合{x|x=2k k是⾃然数}的是,-2,3,10,7,C,D
11,"在$\bigtriangleup ABC$中，$cos\frac{C}{2}=\frac{\sqrt{5}}{5},BC=1, AC=5$，则AB等于",$2\sqrt{5}$,$4\sqrt{2}$,$\sqrt{29}$,$\sqrt{30}$,B,由于cosC=2cos^2(C/2)-1，代入cos(C/2)=\frac{\sqrt{5}}{5}，得到cosC=\frac{2\sqrt{5}}{5}-1，根据余弦定理，有c^2=a^2+b^2-2abcosC，其中c为AB，a和b为AC和BC，即c^2=5^2+1^2-2*5*1*(2*sqrt{5}/5-1)，解得c=4*sqrt(2)，所以选B。
12,"若x\in R, 则“x>1” 是 ""|x|>1""的",既⾮充分也⾮必要条件,充分⾮必要条件,充分必要条件,必要⾮充分条件,B,B. 充分⾮必要条件
13,在集合﹛1，2，3，4…，10﹜中任取⼀个元素，所取元素恰好满⾜⽅程cos（30°•x ）= 1/2 的概率为,1/5,1/4,1/6,1/3,A,C. 1/6
14,下列求导运算正确的事,(x^3)'=3x^2,(x^2 cos(x))'=-2xsin(x),(x^2+1)'=2x+1,(1/x)'=1/x^2,A,B. (x^2 cos(x))'=-2xsin(x)
15,已知函数$f(3x)=log_{2}\sqrt{(9x+1)/2}，则f(1)的值为,1/2,2,1,log_{2}\sqrt{5},A,首先，我们需要找到f(1)的值。为了找到这个值，我们可以将1代入到函数f(3x)中，即：f(3*1) = log2√((9*1+1)/2)简化后：f(3) = log2√(10/2)我们知道log2√(10/2) = log2(√10)/log2(2)，这可以简化为：f(3) = 1/2 log2(√10)由于log2(√10) = log2(10)/log2(2)，我们可以进一步简化为：f(3) = 1/2 * (1 + 1/2)f(3) = 1/2 * 3/2f(3) = 3/4然而，这并不是给定选项中的任何一个值。为了确定我们是否计算正确，我们可以进一步计算f(3)的值：f(3) = log2(√(9*3+1)/2)f(3) = log2(√30/2)f(3) = log2(√(9*2*5)/2)f(3) = log2(3)f(3) = 1这与选项C中的1相匹配，因此正确答案是C。
