0,不相干结论谬误的情形不包括,转移论题,偷换论题,法庭悖论,稻草人谬误,C,C
1,被马克思称之为古代最伟大的思想家的是,马丁·路德,柏拉图,奥古斯丁,亚里士多德,D,D. 亚里士多德。
2,同时肯定“所有的人都会犯错误”与“有的人不会犯错误”这两个命题会违反,同一律,排中律,矛盾律,充足理由律,C,A. 同一律
3,英国的一项实验发现，把母狗和他们的幼小子女分开后，将这些子女混入一群同类的成年狗和幼狗中去，然后再把母狗放入狗群。母狗很快就和自己的子女会合到一起。研究表明，狗身上的体味是它们互相辨认的依据。而幼狗无法区分自己母亲和其它母狗身上的味道。因此每个母狗都能分辨出自己子女的体味 上述论证采用了下列那种论述方法?,说明某一特殊情况，以论证一个规律,在对某种现象的两种可供选择的解释中，通过排除其中的一种，来确定另一种,通过对发生现象的客观描述，支持关于某个可能发生现象的假说,运用类比的方法，根据两组对象有某些类似的特征，得出它们具有另一个相同特征,B,C. 通过对发生现象的客观描述，支持关于某个可能发生现象的假说。
4,一阶逻辑即是指,图式逻辑,谓词逻辑,数值逻辑,概率逻辑,B,B. 谓词逻辑
5,甲说乙胖，乙说丙胖，丙和丁都说自己不胖。 如果四人陈述只有一人错，那么谁一定胖?,仅丙,仅甲,仅乙和丙,仅乙,D,A. 仅丙。解析：假设仅甲说乙胖，那么乙说丙胖和丁说己不胖都是假的，乙是胖的，和题干矛盾。假设仅乙说丙胖，那么甲说乙胖和丁说己不胖都是真的，乙不是胖的，和题干矛盾。假设仅丙说己不胖，那么甲说乙胖和丁说己不胖都是真的，乙是胖的，符合题干。假设仅丁说己不胖，那么甲说乙胖和乙说丙胖都是真的，乙不是胖的，和题干矛盾。所以只有选项C，仅乙和丙中有一个说谎，符合题干条件。
6,以下属于周延词项的是,SAP谓项,SAP主项,SIP主项,SOP主项,B,B. SAP主项
7,允许我们从所有情形推导出特殊情形的是,存在例示规则,真值表,全称例示规则,全称命题,C,C. 全称例示规则
8,析取命题又称为,选言命题,全称命题,否定命题,肯定命题,A,A. 选言命题。
9,在下列语句中，在集合意义下使用语词“人”的是,人是有思维能力的,人是世间万物中第一个可宝贵的,人贵有自知之明,人非圣贤，孰能无过,B,A. 人是有思维能力的
10,有时不清楚一个语篇到底是论证还是解释，我们称之为,解释论证,两可情形,识别论证,论证解释,B,B. 两可情形。
